Name,Address,Rating,Distance,Latitude,Longitude
Yum Yum Bakery & Pizza,"3342 Danforth Avenue Toronto, ON M1L 1E2 Canada ",0.0,942.2353230304757,43.691468,-79.288619
Pizza Hut,"609 A Kingston Road Toronto, ON M4E 1R3 Canada ",3.0,1634.7752219106922,43.691468,-79.288619
Panzerotto & Pizza,"1162 Kingston Rd Scarborough, ON M1N 1P2 Canada ",0.0,1220.6618852482468,43.691468,-79.288619
Earl's,"601 King Street W Toronto, ON M5V 1M5 Canada ",4.5,847.0316288292128,43.640722,-79.391051
Prince Street Pizza,"472 Front Street Avenue West Toronto, ON M5V 0W1 Canada ",3.7,422.6791284521768,43.640722,-79.391051
Bridgette Bar,"423 Wellington Street W Toronto, ON M5V 1E7 Canada ",4.1,477.52904343884626,43.640722,-79.391051
Scaddabush,"200 Front St Unit #G001 Toronto, ON M5V 3J1 Canada ",3.7,645.0042881587171,43.640722,-79.391051
Jz's Pizza,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,517.9355810865333,43.640722,-79.391051
Mamma's Pizza,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,447.50233216947106,43.640722,-79.391051
Georgian House,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.5,901.6310955076323,43.640722,-79.391051
Par-Tee Pong,"26 Duncan St 2nd Floor Toronto, ON M5V 2B8 Canada ",5.0,888.2779092086564,43.640722,-79.391051
Pizzeria Libretto,"545 King Street W Toronto, ON M5V 1M1 Canada ",4.0,735.7897563748933,43.640722,-79.391051
Boston Pizza,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,429.86235473695314,43.640722,-79.391051
Pizzeria Moretti,"328 Wellington Street W The SoHo Hotel Toronto, ON M5V 3T4 Canada ",3.3,463.6983725735951,43.640722,-79.391051
DoughBox,"40 University Avenue Unit 7 Toronto, ON M5J 1T1 Canada ",4.7,801.7379052436319,43.640722,-79.391051
Hey Lucy,"295 King St. W. Toronto, ON M5V 1J5 Canada ",3.5,639.1491869305097,43.640722,-79.391051
Pie Bar,"207 Queens Quay W Suite 155 Toronto, ON M5J Canada ",3.4,894.3817885077477,43.640722,-79.391051
