name,latitude,longitude,number_of_bikes
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,1
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,15
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,3
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,5
420 Wellington St W,43.643834,-79.396649,0
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,2
York University Station (North),43.7741,-79.5005,0
Dundas St W / Yonge St,43.656094,-79.381484,12
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,0
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,1
Jane St / Sheppard Ave W,43.73901341370186,-79.51286317927207,0
144 Harrison St,43.651145,-79.423742,33
Wellington St W / Bay St,43.647259,-79.379878,8
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,7
161 Bleecker St (South of Wellesley),43.666233,-79.373327,17
Bay St / Scollard St,43.672152,-79.39018,2
Pape Ave / Gamble Ave,43.690237,-79.350119,7
Queen St E / Hammersmith Ave,43.671349,-79.29451,11
Walnut Ave / Queen St W,43.645469,-79.411084,13
Queen St E / Pape Ave - SMART,43.661673,-79.337789,11
Tecumseth St / Tecumseth Pl,43.642697996199985,-79.4049993694586,1
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,0
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,13
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,3
Rouge Hill GO Station,43.7805505,-79.1301203,10
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,13
Bremner Blvd / Rees St,43.641529,-79.386741,10
Willowdale Ave / Bishop Ave ,43.78387252467251,-79.40786809814757,1
Plaxton Dr / St Clair Ave E,43.70751755961952,-79.30252066313936,1
Front St W / University Ave (2),43.6452972,-79.3827914,7
Jarvis St / Richmond St E,43.652777,-79.372637,1
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,10
Dundas St E / River St,43.661152,-79.358505,0
St Clair Ave W / Symes Rd,43.670042134416704,-79.4789424818056,4
Yarmouth Rd / Christie St,43.67,-79.42083333333333,4
Dufferin Gate - SMART,43.633473,-79.425679,9
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,3
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,3
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,2
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,14
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,5
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,6
Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
385 Pacific Ave,43.6651094724602,-79.46833581423087,19
Chorley Park - SMART,43.6856,-79.3718,1
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,12
Yonge St / Davisville Ave,43.6975969,-79.39654,0
Berry Rd / Bell Manor Dr,43.63732,-79.489083,6
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,0
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,2
St Clarens Ave / Shirley St,43.6486599,-79.4376413,5
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,15
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,0
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,1
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,0
Bay St / Albert St,43.653264,-79.382458,8
Jack Layton Ferry Terminal,43.64103161936887,-79.37670442726134,6
High Park Outdoor Pool,43.650154,-79.464934,0
800 Fleet St (South),43.63670985212708,-79.40880517790985,8
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,6
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,17
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,2
Niagara St / Tecumseth St,43.641389,-79.404444,2
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,8
Oakdale Community Centre,43.74751496038769,-79.5132569853195,0
Trinity St /Front St E,43.651318,-79.36023,18
Finch Ave E / Upper Don Recreational Trail ,43.78893788312306,-79.37488868750592,0
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,0
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,3
Swansea Community Centre,43.6438036,-79.4770327,8
The Queensway / High St,43.630874,-79.482407,21
Esther Shiner Stadium,43.7774374,-79.4447096,1
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,1
