Name,Address_x,Closed bucket,Distance_x,Latitude,Longitude,Address_y,Rating,Distance_y
Boston Pizza,"11 Channel Ave, Toronto ON M5J 1Y6",LikelyOpen,444,43.640722,-79.391051,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,429.86235473695314
Maker Pizza,"55A Cameron St, Toronto ON M5T 2H1",LikelyOpen,715,43.643834,-79.396649,"59 Cameron Street Toronto, ON M5T 2H1 Canada ",3.8,738.419138099591
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,478,43.643834,-79.396649,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,479.4372006350851
Domino's Pizza,"51 Niagara St (at Bathurst St), Toronto ON M5V 1C3",LikelyOpen,492,43.643834,-79.396649,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,375.44206960318894
Jz's Pizza,"232 Wellington St W, Toronto ON M5V 3W1",VeryLikelyOpen,583,43.643834,-79.396649,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,581.4052095597342
Mamma's Pizza,"405 Richmond St W (at Spadina Ave.), Toronto ON M5V 1X3",LikelyOpen,463,43.643834,-79.396649,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,1013.6690135487706
Boston Pizza,"250 Front St W (John St), Toronto ON M5V 3G5",LikelyOpen,651,43.643834,-79.396649,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,652.319002021856
Pizza Rustica,"37 Blue Jays Way, Toronto ON M5V 9G9",VeryLikelyOpen,404,43.643834,-79.396649,"37 Blue Jays Way Toronto, ON M5V 9G9 Canada ",2.4,419.8309875034079
Pizza Nova,"365 Front St W (at Blue Jay Way), Toronto ON M5V 3R6",LikelyOpen,383,43.643834,-79.396649,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,391.80291444565614
Pizza Pizza,"540 King St W, Toronto ON M5V 1M3",LikelyOpen,165,43.643834,-79.396649,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562236
Pizzeria Moretti,"328 Wellington St W (Blue Jays Way), Toronto ON M5V 3T4",VeryLikelyOpen,342,43.643834,-79.396649,"328 Wellington Street W The SoHo Hotel Toronto, ON M5V 3T4 Canada ",3.3,358.5556005274118
Domino's Pizza,"344 Front St W (Spadina), Toronto ON M5V 3W7",VeryLikelyOpen,370,43.643834,-79.396649,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,375.44206960318894
Domino's Pizza,"410 Queen St W, Toronto ON M5V 2A7",VeryLikelyOpen,548,43.643834,-79.396649,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,375.44206960318894
Pizza Pizza,"340 Front St W (Blue Jays Way), Toronto ON M5V 3W7",LikelyOpen,436,43.643834,-79.396649,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562236
Pizza Pizza,"655 Queen St W, Toronto ON M6J 1E6",LikelyOpen,703,43.643834,-79.396649,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562236
Pizza Nova,"1 Blue Jays Way, Toronto ON M5V 1J3",LikelyOpen,775,43.643834,-79.396649,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,391.80291444565614
Pizza Pizza,"228 Queen St W, Toronto ON M5V 1Z6",VeryLikelyOpen,878,43.643834,-79.396649,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562236
Pizza Pizza,"20 Blue Jays Way, Toronto ON M5V 3W6",Unsure,398,43.643834,-79.396649,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562236
Boston Pizza,"11 Channel Ave, Toronto ON M5J 1Y6",LikelyOpen,657,43.643834,-79.396649,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,652.319002021856
Pizza Pizza,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,921,43.76073963892478,-79.5000273116394,"1300 Finch Avenue W Toronto, ON M3J 3K2 Canada ",0.0,931.143782615235
Pizza Pizza,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,921,43.76073963892478,-79.5000273116394,"1837 Finch Avenue W Unit T-3 Toronto, ON M3N 2H1 Canada ",1.8,1213.1425747118926
Pizza Nova,"3928 Keele St, Toronto ON M3J 1N8",LikelyOpen,742,43.76073963892478,-79.5000273116394,"3928 Keele Street Toronto, ON M3J Canada ",3.9,727.3234715128076
Pizza Studio,"105 the Pond Rd, Toronto ON M3J 0K9",LikelyOpen,997,43.76073963892478,-79.5000273116394,"105 The Pond Rd Unit 100 Toronto, ON M3J 0K9 Canada ",1.0,995.869177353552
Maker Pizza,"55A Cameron St, Toronto ON M5T 2H1",LikelyOpen,743,43.6568254,-79.3966159,"59 Cameron Street Toronto, ON M5T 2H1 Canada ",3.8,724.721722921816
Pizzeria Via Mercanti,"188 Augusta Ave, Toronto ON M5T 2L6",VeryLikelyOpen,524,43.6568254,-79.3966159,"188 Augusta Avenue Toronto, ON M5T 1M1 Canada ",3.7,529.2862145406572
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,968,43.6568254,-79.3966159,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,974.1397373059334
Pizza Nova,"267 College St (at Spadina Ave), Toronto ON M5T 1R6",LikelyOpen,254,43.6568254,-79.3966159,"267 College Street Toronto, ON M5T 1R5 Canada ",2.5,257.2100474539375
Pizzeria Da Mario,"253 Augusta Ave, Toronto ON M5T 2L8",LikelyOpen,474,43.6568254,-79.3966159,"253 Augusta Avenue Toronto, ON M5T 2L8 Canada ",4.6,479.1263452607426
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,943,43.6568254,-79.3966159,"800 Bay Street Unit 101 Toronto, ON M5S 3A9 Canada ",3.6,954.2734259908424
Cora Pizza,"1 U002F2 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,864,43.6568254,-79.3966159,"656A Spadina Ave Toronto, ON M5S 2H7 Canada ",3.7,870.7664494687692
Gino's Pizza,"4700 Keele St, Vaughan ON M3J 1P3",LikelyOpen,165,43.7741,-79.5005,"4700 Keele Street Toronto, ON M3J 2S5 Canada ",1.0,183.19522663658
Pizza Studio,"105 the Pond Rd, Toronto ON M3J 0K9",LikelyOpen,511,43.7741,-79.5005,"105 The Pond Rd Unit 100 Toronto, ON M3J 0K9 Canada ",1.0,513.3853318175053
Domino's Pizza,"4207 Keele St, North York ON M3J 3T8",LikelyOpen,601,43.7741,-79.5005,"4207 Keele Street North York, ON M3J 3T8 Canada ",2.7,604.4850755989104
Blaze Pizza,"10 Dundas St E, Toronto ON M5B 2G9",VeryLikelyOpen,127,43.656094,-79.381484,"10 Dundas Street E Toronto, ON M5B 2G9 Canada ",4.4,124.18725240462456
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,910,43.656094,-79.381484,"155 University Avenue Toronto, ON M5H 3B7 Canada ",3.7,876.7054080984133
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,910,43.656094,-79.381484,"545 King Street W Toronto, ON M5V 1M1 Canada ",4.0,1911.3885931906648
Pizzaiolo,"104 Yonge St (at Adelaide St W), Toronto ON M5C 2Y6",LikelyOpen,720,43.656094,-79.381484,"770 Bay Street Toronto, ON M5G 0A6 Canada ",4.0,582.7317268081097
Pizza Pizza,"346 Yonge St, Toronto ON M5B 1R8",LikelyOpen,199,43.656094,-79.381484,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,487.517934894287
Pizza Pizza,"761 Bay St, Toronto ON M5G 2R2",LikelyOpen,469,43.656094,-79.381484,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,487.517934894287
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,691,43.656094,-79.381484,"800 Bay Street Unit 101 Toronto, ON M5S 3A9 Canada ",3.6,692.1349440507413
Pizzaiolo,"289 Dundas St W (at McCaul St), Toronto ON M5T 1G1",LikelyOpen,789,43.656094,-79.381484,"770 Bay Street Toronto, ON M5G 0A6 Canada ",4.0,582.7317268081097
Sbarro,"220 Yonge St (in Toronto Eaton Centre), Toronto ON M5B 2H1",LikelyOpen,89,43.656094,-79.381484,"220 Yonge Street Toronto, ON M5B 2H1 Canada ",1.5,89.10126060666896
Pizza Pizza,"471 Yonge St, Toronto ON M4Y 1X4",LikelyOpen,673,43.656094,-79.381484,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,487.517934894287
